Subject,Start Date,End Date,Start Time,End Time,All day event
Michael Scott vacation,5/4/2026,5/8/2026,,,True
Dwight Schrute - performance review,5/12/2026,5/12/2026,,,True
Jim Halpert doctor appointment,5/5/2026,5/5/2026,9:00 AM,12:30 PM,False
Pam Beesly dentist,5/6/2026,5/6/2026,9:00 AM,11:00 AM,False
Ryan Howard - out sick,5/18/2026,5/19/2026,,,True
Andy Bernard afternoon training,5/14/2026,5/14/2026,1:00 PM,4:00 PM,False
Angela Martin vet appointment,5/7/2026,5/7/2026,9:30 AM,11:30 AM,False
Kevin Malone medical appointment,5/21/2026,5/21/2026,,,True
Oscar Martinez conference,5/11/2026,5/13/2026,,,True
Kelly Kapoor hair appointment,5/5/2026,5/5/2026,2:00 PM,4:00 PM,False
Toby Flenderson HR seminar,5/19/2026,5/19/2026,10:00 AM,2:00 PM,False
Meredith Palmer - out,5/26/2026,5/26/2026,,,True
Stanley Hudson doctor appointment,5/8/2026,5/8/2026,10:00 AM,12:00 PM,False
Phyllis Vance morning appointment,5/13/2026,5/13/2026,9:00 AM,11:30 AM,False
Darryl Philbin training day,5/20/2026,5/20/2026,,,True
Erin Hannon dentist,5/15/2026,5/15/2026,1:30 PM,3:00 PM,False
Jan Levinson board meeting,5/22/2026,5/22/2026,10:00 AM,1:30 PM,False
