"Name","Role","Phones AM","Phones PM","In-Person AM","In-Person PM","QP AM","QP PM"
"Michael Scott","SA1","1","1","1","1","1","1"
"Dwight Schrute","SA2","1","1","1","1","1","1"
"Jim Halpert","SA1","1","1","1","1","1","1"
"Pam Beesly","SA2","1","1","1","1","1","1"
"Ryan Howard","OP2","1","1","0","0","0","0"
"Andy Bernard","SA1","1","1","1","1","1","1"
"Angela Martin","OP2","1","1","0","0","0","0"
"Kevin Malone","OP2","1","1","0","0","0","0"
"Oscar Martinez","SA2","1","1","1","1","1","1"
"Kelly Kapoor","OP2","1","1","0","0","0","0"
"Toby Flenderson","SA1","1","1","1","1","1","1"
"Meredith Palmer","OP2","1","1","0","0","0","0"
"Creed Bratton","OP2","1","1","0","0","0","0"
"Stanley Hudson","SA2","1","1","1","1","1","1"
"Phyllis Vance","SA1","1","1","1","1","1","1"
"Darryl Philbin","SA2","1","1","1","1","1","1"
"Erin Hannon","SA1","1","1","1","1","1","1"
"Jan Levinson","SA2","1","1","1","1","1","1"
"Karen Filippelli","OP2","1","1","0","0","0","0"
"Roy Anderson","OP2","1","1","0","0","0","0"
